column,count,mean,std,min,max
0,1048,0.3299074275053627,0.06913602881229437,0.25004777465127576,0.589634429153108
1,76,0.2943604586638633,0.04694292423807421,0.25035398916301843,0.4810074837109119
2,7,0.2945852092378666,0.02228203487903479,0.263017804535299,0.33536843757887175
